PLAYER_ID,POSITION,HEIGHT,WEIGHT
1642281,Guard-Forward,6-6,215.0
1629660,Guard-Forward,6-5,195.0
1631095,Forward,6-10,220.0
1630643,Center,7-1,240.0
1630590,Guard,6-1,170.0
1630611,Forward,6-6,185.0
1630578,Center,6-11,243.0
1631106,Forward,6-8,215.0
1630224,Guard,6-4,186.0
1631246,Guard,6-4,205.0
1641708,Guard-Forward,6-7,200.0
1631120,Guard,6-1,195.0
1628963,Forward,6-10,235.0
1642349,Guard,6-5,190.0
1642352,Forward,6-7,225.0
202709,Guard,6-2,200.0
1642366,Center,7-0,238.0
1630296,Forward,6-8,225.0
1631218,Forward,6-9,245.0
1630311,Guard,6-3,205.0
1641715,Forward,6-7,230.0
1642263,Guard,6-2,185.0
1631466,Guard,6-5,205.0
1641757,Guard,6-5,194.0
1642353,Guard,6-6,190.0
1631248,Guard,6-6,205.0
1630574,Center,6-11,246.0
1642278,Guard,6-3,195.0
1642359,Forward,6-8,210.0
1642265,Guard,6-3,175.0
1641824,Forward,6-10,209.0
1629012,Guard,6-3,190.0
1642419,Forward,6-7,220.0
1631210,Forward,6-8,200.0
1641890,Forward,6-9,224.0
1642258,Forward,6-8,200.0
1630163,Guard,6-7,180.0
1641871,Center,6-9,245.0
1630231,Forward,6-6,215.0
1630288,Guard,6-3,177.0
1641763,Forward,6-8,198.0
1630249,Guard,6-8,195.0
1630534,Guard,6-5,215.0
1630537,Guard,6-5,190.0
1630539,Center-Forward,6-11,221.0
1630208,Center,7-0,245.0
1630166,Forward,6-9,240.0
1641810,Guard,6-5,205.0
1630164,Center,6-11,240.0
1642262,Forward,6-7,190.0
203924,Forward,6-7,210.0
1642347,Guard,6-1,200.0
1642346,Forward,6-8,216.0
203995,Guard,6-3,188.0
1642345,Forward,7-0,235.0
1642279,Center,6-11,235.0
1642402,Forward,6-7,220.0
1642377,Forward,6-8,
1642367,Forward,6-9,225.0
1642358,Guard,6-5,160.0
1628998,Forward,6-6,205.0
1628366,Guard,6-6,190.0
1628374,Forward-Center,7-0,240.0
1642270,Center,7-2,280.0
1628970,Forward,6-7,225.0
1626179,Guard,6-1,190.0
1642272,Guard,6-3,195.0
1627751,Center,7-0,260.0
1642274,Center,6-11,235.0
1627824,Forward,6-8,265.0
1631093,Guard,6-4,195.0
1631200,Forward,6-8,216.0
1641718,Guard,6-4,185.0
1641729,Forward,6-5,235.0
1631255,Forward-Center,6-10,231.0
1641712,Guard-Forward,6-6,195.0
1630696,Guard,6-2,203.0
1641741,Guard,6-6,207.0
1630592,Forward,6-6,220.0
1630703,Guard,6-3,206.0
1631204,Guard,6-2,195.0
1641739,Forward,6-7,229.0
1631207,Forward,6-7,195.0
1631222,Forward,6-7,235.0
1641711,Guard-Forward,6-6,200.0
1631217,Forward,6-9,210.0
1641707,Forward,6-9,215.0
1641730,Forward-Center,6-9,210.0
1641706,Forward,6-7,200.0
1641737,Forward,6-10,235.0
1631133,Forward,6-7,237.0
1631311,Guard,6-4,208.0
1631117,Center,7-0,245.0
1630544,Guard,6-3,178.0
1628380,Forward-Center,6-11,250.0
1631323,Forward,6-7,209.0
1631165,Guard,6-4,175.0
1631110,Forward,6-8,230.0
1641809,Forward,6-9,205.0
1641725,Guard,6-4,185.0
1629640,Forward-Guard,6-5,220.0
1642273,Forward,6-8,200.0
1642267,Guard,6-4,190.0
1631098,Guard,6-4,195.0
1631103,Forward,6-4,180.0
1642505,Guard,6-7,220.0
1630557,Forward,6-6,224.0
1641745,Guard,6-3,180.0
1642264,Guard,6-6,215.0
1641731,Guard,6-8,195.0
1630200,Guard,6-1,185.0
1641705,Forward-Center,7-3,235.0
1630572,Forward-Center,6-9,240.0
1642259,Center,7-0,205.0
1630577,Forward,6-7,217.0
1631104,Guard,6-3,185.0
1642271,Center,6-11,250.0
1631245,Guard,6-5,173.0
1642530,Guard,5-8,159.0
1629627,Forward,6-6,284.0
1642450,Guard,6-3,165.0
1630618,Guard,6-3,200.0
1630553,Guard,6-5,185.0
1630644,Guard,6-2,185.0
1630256,Forward,6-4,230.0
1631221,Guard,6-1,195.0
1630243,Guard,6-5,190.0
1642275,Forward,6-8,207.0
1641789,Guard,6-2,184.0
1641798,Guard,6-6,216.0
1642385,Forward,6-5,190.0
1631243,Forward,6-10,210.0
1630811,Guard,6-3,185.0
1641727,Guard-Forward,6-6,220.0
1642024,Forward-Center,6-9,245.0
1641732,Guard,6-6,207.0
1642403,Forward,6-9,245.0
1630314,Guard,6-1,190.0
1630548,Guard,6-5,226.0
1631288,Forward,6-6,191.0
1641736,Guard,6-3,190.0
1641998,Center,6-11,270.0
1641766,Forward,6-9,245.0
1631213,Forward,6-6,215.0
1631321,Guard,6-6,200.0
1641857,Center,7-0,250.0
1630658,Center,6-10,250.0
1642266,Guard,6-5,180.0
1631247,Forward,6-7,207.0
1642502,Forward,6-9,210.0
1641733,Guard,6-2,185.0
1626158,Forward,6-9,235.0
1642461,Forward,6-7,225.0
1631230,Forward,6-8,215.0
1642354,Guard,6-0,189.0
1631197,Guard,6-5,210.0
1631132,Center,7-0,225.0
1631127,Forward,6-5,230.0
1629098,Guard-Forward,6-8,215.0
1642434,Forward,6-7,230.0
1642268,Guard,6-3,210.0
1630649,Guard,6-6,210.0
1631101,Guard,6-5,208.0
1641721,Forward,6-7,215.0
1641720,Guard,6-5,210.0
1630170,Guard-Forward,6-5,200.0
1630222,Guard,6-4,200.0
1631102,Guard,6-3,195.0
1641779,Forward,6-8,225.0
1642422,Forward,6-9,245.0
1630550,Forward,6-9,203.0
1630570,Guard-Forward,6-8,237.0
1641790,Center,6-10,245.0
1641803,Guard,6-5,190.0
1641723,Guard,6-4,195.0
1642285,Guard,6-4,205.0
1629650,Center,7-2,258.0
1631386,Guard,6-5,195.0
1631214,Guard,6-4,210.0
1631306,Forward,6-8,220.0
1642348,Forward,6-7,203.0
1642382,Center,7-0,220.0
1631303,Forward,6-5,205.0
1631131,Forward-Center,6-8,255.0
1630695,Center,6-9,248.0
1630227,Guard,6-4,238.0
1631109,Center,7-0,240.0
1642280,Forward,6-9,185.0
203482,Forward-Center,6-11,240.0
1631209,Guard,6-3,185.0
1642384,Forward,6-6,220.0
1642439,Guard,6-3,200.0
1631121,Guard,6-6,190.0
1631250,Forward,6-10,225.0
1641774,Forward,7-0,220.0
1630528,Guard,6-4,215.0
1642269,Guard,6-2,195.0
1641752,Forward,6-9,225.0
1641787,Forward,6-7,217.0
1642484,Guard,6-2,180.0
1641989,Guard,6-3,195.0
1631342,Guard-Forward,6-6,216.0
1641713,Forward,6-9,210.0
1641734,Forward,6-8,202.0
1630283,Center,7-0,230.0
1642389,Guard,6-4,206.0
1642050,Forward,6-7,210.0
1631232,Forward,6-7,210.0
1626143,Center-Forward,6-10,270.0
1641878,Guard,6-4,194.0
1630165,Guard,6-5,195.0
1641772,Forward,6-10,210.0
1641879,Guard,6-0,190.0
1642399,Center,7-0,236.0
1642368,Center,6-11,230.0
1627746,Forward-Center,6-10,235.0
1642443,Guard,6-1,185.0
1641801,Forward,6-7,215.0
1631123,Guard,6-2,180.0
1641936,Forward,6-7,220.0
1641817,Forward,6-8,225.0
1630585,Guard,6-5,205.0
1630678,Forward,6-4,230.0
1630542,Forward,6-6,217.0
1641755,Guard,6-6,210.0
1630762,Forward,6-8,185.0
1631166,Forward,6-10,235.0
1630623,Guard,6-2,200.0
1641815,Guard,6-0,185.0
1631301,Guard,6-6,210.0
1642449,Forward,6-11,
1630600,Forward,6-8,238.0
1631199,Guard-Forward,6-4,233.0
1626174,Forward,6-8,214.0
1631257,Forward,6-6,230.0
1631100,Forward,6-6,220.0
1628372,Guard,6-3,205.0
1630259,Guard,6-1,175.0
1630177,Guard,6-4,175.0
1630184,Guard,6-1,170.0
1630197,Forward,7-0,210.0
1629677,Forward,6-10,227.0
1630647,Forward,6-6,235.0
1628426,Forward,6-8,225.0
1630846,Center,6-10,240.0
1629685,Guard-Forward,6-7,196.0
1628966,Forward,6-8,229.0
1630240,Guard,6-2,183.0
1630181,Guard,6-4,175.0
1641749,Forward,6-4,230.0
1630196,Center,6-11,225.0
1629232,Forward,6-7,225.0
1631367,Guard,5-8,160.0
1629010,Guard,6-5,190.0
1627853,Guard,6-3,195.0
1631220,Guard,6-5,180.0
1641788,Forward,6-8,200.0
1641931,Forward,6-6,215.0
1630207,Guard-Forward,6-5,210.0
1629678,Forward,6-5,241.0
1641793,Guard,6-3,188.0
1630608,Guard,6-6,185.0
1641778,Forward,6-6,209.0
1641806,Guard,5-7,160.0
1641735,Guard,6-3,185.0
1629623,Guard,6-1,189.0
1641771,Forward,6-7,215.0
1629716,Center,6-10,249.0
1630587,Forward,6-6,232.0
1630547,Guard,6-4,190.0
1641926,Guard,6-5,210.0
1629718,Guard,6-6,199.0
1631262,Guard,6-6,210.0
1629875,Guard,6-0,165.0
1630535,Forward,6-7,206.0
1641877,Center,6-9,230.0
1641754,Guard-Forward,6-4,220.0
1630563,Guard,6-4,189.0
1630586,Forward,6-8,229.0
1630606,Guard,6-4,205.0
1631376,Center,7-1,215.0
1630641,Center,7-0,240.0
1629007,Center-Forward,6-10,240.0
1628977,Guard,6-5,202.0
1631241,Guard,6-3,190.0
1631173,Guard,6-4,160.0
1630284,Guard,6-5,216.0
1630562,Forward,6-9,233.0
1630204,Guard-Forward,6-3,190.0
1631338,Forward,6-9,210.0
1629647,Forward,6-9,216.0
1630622,Guard,6-1,175.0
1630186,Guard,6-3,190.0
1630610,Guard,6-5,185.0
1631167,Guard,6-4,196.0
1630929,Forward,6-9,220.0
1641847,Guard,6-5,200.0
1631205,Forward,6-5,205.0
1641970,Forward,6-8,177.0
1628391,Forward,6-10,231.0
1628424,Guard,6-5,180.0
1642013,Center,6-11,250.0
1630285,Guard,6-0,190.0
1641851,Forward,6-6,210.0
1631298,Forward,6-6,225.0
1630564,Forward,6-7,269.0
1628432,Guard,6-5,206.0
1629676,Forward,6-8,230.0
203943,Forward,6-10,257.0
200752,Forward-Guard,6-8,250.0
1630195,Forward,6-6,200.0
203585,Guard,6-4,205.0
202322,Guard,6-3,210.0
1631211,Guard,6-4,221.0
1630250,Center,7-0,220.0
1631113,Guard,5-11,170.0
1631309,Guard,6-0,180.0
1629033,Guard-Forward,6-7,212.0
1628416,Guard,6-4,180.0
1630593,Guard,5-11,192.0
1630613,Guard,6-2,197.0
1630792,Forward,6-6,220.0
1630225,Forward,6-9,219.0
203521,Guard,6-3,200.0
1631320,Forward,6-5,223.0
1630648,Guard,6-6,200.0
1630176,Center,6-10,270.0
1630701,Forward,6-8,250.0
1631219,Forward,7-0,190.0
1631160,Guard,6-7,215.0
1629653,Guard,6-1,185.0
1626169,Forward-Guard,6-6,242.0
1629662,Center,6-10,250.0
1630580,Guard-Forward,6-6,205.0
1630637,Guard,6-0,174.0
1629126,Guard-Forward,6-4,240.0
1629735,Forward,6-8,234.0
1630620,Forward,6-7,245.0
1630270,Forward,6-5,215.0
1628402,Guard,6-3,205.0
1641645,Forward,6-8,183.0
203487,Guard,6-5,190.0
1628221,Guard,6-3,190.0
1629663,Forward,6-7,205.0
1631495,Guard,6-6,190.0
1628435,Center,6-10,210.0
1629620,Guard,6-1,195.0
200746,Center-Forward,6-11,250.0
202340,Guard,6-3,180.0
1627761,Guard-Forward,6-5,210.0
1630686,Forward,6-7,192.0
203145,Guard-Forward,6-4,195.0
203090,Forward-Guard,6-7,220.0
203107,Guard,6-7,210.0
1627774,Forward,6-8,209.0
1630565,Forward,6-5,210.0
201571,Guard,5-11,183.0
1630190,Guard,6-5,215.0
1628021,Guard-Forward,6-5,219.0
1628367,Guard-Forward,6-8,207.0
1629649,Forward,6-6,221.0
203087,Guard-Forward,6-5,180.0
202339,Guard,6-1,214.0
1630536,Guard,6-1,176.0
1630466,Forward,6-6,231.0
1630612,Guard,6-4,200.0
1627782,Guard,6-4,232.0
1627756,Guard,6-4,220.0
202954,Guard,6-3,210.0
1630698,Guard,6-1,179.0
1630691,Forward,6-9,206.0
1630555,Guard,6-4,180.0
203918,Guard-Forward,6-8,208.0
1627822,Forward,6-11,220.0
1626155,Forward,6-8,219.0
1629681,Forward-Center,6-9,220.0
1630525,Guard,6-4,203.0
202334,Center-Forward,6-9,218.0
1628539,Guard,6-3,195.0
1629103,Forward,6-5,230.0
1630605,Guard,6-4,190.0
1629712,Guard,6-5,188.0
201961,Guard,6-4,207.0
1629635,Forward,6-9,230.0
1629076,Forward,6-8,255.0
1630582,Forward,6-5,206.0
1630271,Guard,6-5,185.0
1630218,Forward,6-6,235.0
1628778,Guard,6-6,210.0
1629719,Forward,6-7,240.0
1629109,Forward,6-6,225.0
1629083,Forward,6-10,209.0
1630575,Guard,6-5,185.0
1629168,Forward,6-6,200.0
1630758,Forward,6-8,220.0
1630602,Forward,6-5,215.0
1629755,Guard,6-2,187.0
203516,Forward,6-6,215.0
1629619,Guard,6-2,195.0
1629203,Forward,6-5,175.0
1628422,Guard,6-5,210.0
2207,Guard-Forward,6-7,240.0
1630286,Forward,6-8,225.0
1630278,Guard,6-5,200.0
1626144,Guard,6-3,200.0
1630589,Forward,6-8,226.0
101139,Guard,6-6,220.0
1626147,Forward-Guard,6-5,231.0
202362,Forward,6-5,210.0
1630273,Center,6-9,245.0
204025,Guard,6-0,170.0
1628411,Forward,6-6,195.0
202688,Guard,6-2,182.0
1628994,Forward-Guard,6-6,220.0
1627767,Forward-Center,6-8,219.0
1627760,Guard,6-1,173.0
1629683,Guard,6-3,205.0
1629788,Guard,6-5,209.0
1629760,Guard,6-2,199.0
201954,Guard,6-0,160.0
1629783,Guard,6-3,190.0
1629607,Guard,5-10,175.0
1630199,Guard,6-5,190.0
1630179,Guard,6-2,160.0
1628476,Guard,6-0,185.0
1629686,Forward-Guard,6-8,190.0
1629600,Guard,6-5,205.0
1630787,Forward,6-7,220.0
1628591,Guard,6-3,196.0
1629309,Guard,6-6,200.0
1629150,Forward,6-9,220.0
1629658,Forward,6-8,216.0
1628419,Forward,6-8,239.0
1630306,Guard,6-5,205.0
203816,Guard-Forward,6-7,204.0
1626208,Guard,5-11,167.0
1629005,Guard,6-3,190.0
1630693,Center,6-10,258.0
1629751,Guard,6-4,200.0
1630640,Guard,6-5,213.0
1629657,Guard,6-1,167.0
1629164,Guard,6-0,180.0
1629873,Guard,6-2,200.0
1629602,Center,6-10,234.0
1628238,Forward,6-8,200.0
1630257,Center,7-1,265.0
1628537,Guard,6-5,185.0
1629958,Guard,6-2,174.0
1628395,Forward,6-7,216.0
203658,Center,6-10,231.0
1629597,Forward,6-5,220.0
1627820,Guard,6-5,198.0
1630994,Guard,6-4,203.0
1628982,Guard-Forward,6-5,215.0
1629962,Guard,6-2,183.0
1630624,Forward,6-8,195.0
1629066,Forward,6-9,228.0
1626188,Guard,6-1,180.0
202335,Forward,6-8,235.0
200755,Guard,6-3,200.0
1629690,Guard,6-4,190.0
1629665,Guard,6-4,185.0
1628407,Guard-Forward,6-6,221.0
203382,Center-Forward,6-10,260.0
203960,Forward,6-7,214.0
203998,Forward,6-9,218.0
203922,Forward,6-6,222.0
1628961,Forward,6-10,200.0
1628390,Guard,6-6,190.0
1627748,Forward-Center,7-0,221.0
1629713,Guard-Forward,6-7,190.0
1628414,Guard,6-4,215.0
1630221,Forward,6-9,190.0
1630253,Forward,6-6,195.0
1629738,Center-Forward,7-0,235.0
1630211,Guard,6-3,190.0
1629648,Guard,6-2,180.0
1628394,Center-Forward,7-1,229.0
1626245,Forward-Center,6-11,270.0
1630185,Guard,6-2,190.0
203121,Forward,6-6,225.0
1630223,Guard,6-5,195.0
1629121,Guard,6-0,225.0
1630189,Forward,6-7,215.0
1628968,Forward-Guard,6-6,190.0
1628412,Guard,5-11,190.0
202329,Forward,6-8,220.0
1629034,Forward,6-9,225.0
1626184,Guard,6-2,185.0
1627775,Guard,6-7,181.0
203460,Guard-Forward,6-7,210.0
1628383,Center,6-11,241.0
202697,Guard,6-5,212.0
204222,Forward,6-8,210.0
1630268,Guard,6-6,200.0
1627740,Forward-Center,6-10,240.0
1629346,Forward,6-10,215.0
1630266,Center,6-10,234.0
1629244,Forward,6-7,225.0
1630203,Guard,6-2,190.0

